run_id,solver,target,n_features,n_pu,species,n_solutions,cost,time
43,gurobi,0.7000000000000001,72,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1140084501,1.6200000000000045
44,gurobi,0.8,72,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1950742823,1.759999999999991
45,gurobi,0.9,72,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,3033233066,1.6899999999999409
46,gurobi,0.1,10,37128,"amegfi,belkin1,bnhcow,houfin,houwre,rewbla,savspa,spotow,daejun,vigswa",1,18486224,1.4700000000000273
47,gurobi,0.2,10,37128,"amekes,chispa,dowwoo,gockin,haiwoo,hutvir,moudov,olsfly,sonspa,towwar",1,52941994,1.4700000000000273
48,gurobi,0.30000000000000004,10,37128,"brdowl,belkin1,bewwre,batpig1,norfli,foxspa,hutvir,norhar1,rocpig,wilsni1",1,148609965,1.5699999999999363
49,gurobi,0.4,10,37128,"annhum,batpig1,coohaw,evegro,houspa,osprey,stejay,treswa,daejun,vigswa",1,615812670,1.5900000000000318
50,gurobi,0.5,10,37128,"bushti,chbchi,amecro,hutvir,macwar,moudov,osprey,pasfly,savspa,sora",1,824166227,1.5399999999999636
51,gurobi,0.6,10,37128,"brebla,cangoo,chispa,eucdov,haiwoo,houfin,orcwar,pasfly,whcspa,wooduc",1,1721384567,1.5600000000000591
52,gurobi,0.7000000000000001,10,37128,"amerob,barswa,dowwoo,macwar,osprey,purfin,rethaw,treswa,westan,wlswar",1,1317910893,1.5300000000000864
53,gurobi,0.8,10,37128,"amerob,annhum,baleag,brncre,amecro,foxspa,houspa,rethaw,stejay,varthr",1,7424457996,1.4899999999998954
54,gurobi,0.9,10,37128,"amekes,eucdov,eursta,foxspa,olsfly,purfin,rebnut,rocpig,rufhum,yerwar",1,11059190163,1.4099999999999682
55,gurobi,0.1,26,37128,"amegfi,amekes,annhum,baleag,brdowl,bkhgro,brebla,bushti,chbchi,chispa,dowwoo,evegro,houfin,osprey,pilwoo,pasfly,purfin,purmar,rufhum,rewbla,sora,spotow,towwar,whcspa,wlswar,yelwar",1,26860052,3.5
56,gurobi,0.2,26,37128,"amegfi,amerob,baleag,barswa,belkin1,bkhgro,chbchi,amecro,houspa,hutvir,macwar,norhar1,orcwar,pacwre1,pilwoo,pasfly,redcro,rewbla,sora,sonspa,spotow,towwar,vigswa,wilsni1,wooduc,yelwar",1,84278553,3.9400000000000546
57,gurobi,0.30000000000000004,26,37128,"amegfi,amekes,belkin1,bewwre,bkhgro,batpig1,chbchi,cedwax,comrav,norfli,foxspa,orcwar,pacwre1,pasfly,rebnut,rebsap,rewbla,savspa,sora,spotow,swathr,treswa,varthr,westan,wilsni1,wlswar",1,105697118,3.6900000000000546
